image_url,Id,Names,Type1,Type2,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed
https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png,4,Charmander,Fire,None,309,39,52,43,60,50,65
https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png,5,Charmeleon,Fire,None,405,58,64,58,80,65,80
https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png,7,Squirtle,Water,None,314,44,48,65,50,64,43
https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png,8,Wartortle,Water,None,405,59,63,80,65,80,58
https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png,9,Blastoise,Water,None,530,79,83,100,85,105,78
https://img.pokemondb.net/sprites/sword-shield/icon/blastoise-mega.png,9,Blastoise Mega Blastoise,Water,None,630,79,103,120,135,115,78
https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png,10,Caterpie,Bug,None,195,45,30,35,20,20,45
https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png,11,Metapod,Bug,None,205,50,20,55,25,25,30
https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png,19,Rattata,Normal,None,253,30,56,35,25,35,72
https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png,20,Raticate,Normal,None,413,55,81,60,50,70,97
https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png,23,Ekans,Poison,None,288,35,60,44,40,54,55
https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png,24,Arbok,Poison,None,448,60,95,69,65,79,80
https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png,25,Pikachu,Electric,None,320,35,55,40,50,50,90
https://img.pokemondb.net/sprites/sword-shield/icon/pikachu-lets-go.png,25,Pikachu Partner Pikachu,Electric,None,430,45,80,50,75,60,120
https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png,26,Raichu,Electric,None,485,60,90,55,90,80,110
https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png,27,Sandshrew,Ground,None,300,50,75,85,20,30,40
https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png,28,Sandslash,Ground,None,450,75,100,110,45,55,65
https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png,29,Nidoran♀,Poison,None,275,55,47,52,40,40,41
https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png,30,Nidorina,Poison,None,365,70,62,67,55,55,56
https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png,32,Nidoran♂,Poison,None,273,46,57,40,40,40,50
https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png,33,Nidorino,Poison,None,365,61,72,57,55,55,65
https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png,35,Clefairy,Fairy,None,323,70,45,48,60,65,35
https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png,36,Clefable,Fairy,None,483,95,70,73,95,90,60
https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png,37,Vulpix,Fire,None,299,38,41,40,50,65,65
https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png,37,Vulpix Alolan Vulpix,Ice,None,299,38,41,40,50,65,65
https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png,38,Ninetales,Fire,None,505,73,76,75,81,100,100
https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png,50,Diglett,Ground,None,265,10,55,25,35,45,95
https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png,51,Dugtrio,Ground,None,425,35,100,50,50,70,120
https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png,52,Meowth,Normal,None,290,40,45,35,40,40,90
https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png,52,Meowth Alolan Meowth,Dark,None,290,40,35,35,50,40,90
https://img.pokemondb.net/sprites/sword-shield/icon/meowth-galarian.png,52,Meowth Galarian Meowth,Steel,None,290,50,65,55,40,40,40
https://img.pokemondb.net/sprites/sword-shield/icon/persian.png,53,Persian,Normal,None,440,65,70,60,65,65,115
https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png,53,Persian Alolan Persian,Dark,None,440,65,60,60,75,65,115
https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png,54,Psyduck,Water,None,320,50,52,48,65,50,55
https://img.pokemondb.net/sprites/sword-shield/icon/golduck.png,55,Golduck,Water,None,500,80,82,78,95,80,85
https://img.pokemondb.net/sprites/sword-shield/icon/mankey.png,56,Mankey,Fighting,None,305,40,80,35,35,45,70
https://img.pokemondb.net/sprites/sword-shield/icon/primeape.png,57,Primeape,Fighting,None,455,65,105,60,60,70,95
https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png,58,Growlithe,Fire,None,350,55,70,45,70,50,60
https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png,59,Arcanine,Fire,None,555,90,110,80,100,80,95
